Importers	2021-M02-Exported quantity, Kilograms	2021-M03-Exported quantity, Kilograms	2021-M04-Exported quantity, Kilograms	2021-M05-Exported quantity, Kilograms	2021-M06-Exported quantity, Kilograms	2021-M07-Exported quantity, Kilograms	2021-M08-Exported quantity, Kilograms	2021-M09-Exported quantity	2021-M09-Unit	2021-M10-Exported quantity, Kilograms	2021-M11-Exported quantity, Kilograms	2021-M12-Exported quantity, Kilograms	2022-M01-Exported quantity, Kilograms	2022-M02-Exported quantity, Kilograms	2022-M03-Exported quantity, Kilograms	2022-M04-Exported quantity, Kilograms	2022-M05-Exported quantity, Kilograms	2022-M06-Exported quantity, Kilograms	2022-M07-Exported quantity, Kilograms	2022-M08-Exported quantity, Kilograms	2022-M09-Exported quantity, Kilograms	
"Philippines"	0	0	0	0	0	0	0	0		0	0	0	12800	0	14280	0	27915	266897	0	0	0	
"Qatar"	25000	0	0	0	25000	0	0	0		0	0	0	25057	91	50000	97	0	3700	0	0	0	
"Serbia"	150	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	
"Somalia"	247	750	1004	504	316	302	166	354	Kilograms	98	182	0	4156	214	0	0	400	0	0	3157	0	
"South Africa"	0	0	0	0	0	0	0	0		0	1140	8460	0	0	0	0	0	0	0	0	0	
"Viet Nam"	0	784	0	0	0	0	1960	0		0	0	0	1568	0	784	784	392	0	0	0	0	
"Türkiye"	107280	101000	0	0	42000	39540	2152	40150	Kilograms	1000	80400	0	1680	0	37382	96	20000	29000	0	19656	0	
"Uganda"	0	370	0	0	100	0	0	864	Kilograms	0	0	0	80	0	0	0	0	0	0	0	0	
"Ukraine"	0	0	0	0	0	63020	420000	260100	Kilograms	217250	93052	3800	0	0	0	0	0	0	0	0	0	
"Macedonia, North"	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	21000	0	
"Egypt"	50000	50300	50000	0	12000	0	25000	0		0	0	382000	44000	91000	0	0	0	22500	0	0	0	
"Togo"	0	0	0	3526	0	0	0	0		0	0	2630	0	0	0	0	4000	750	0	0	0	
"Tokelau"	0	0	0	0	0	0	0	0		0	0	0	0	0	25000	0	0	0	0	0	0	
"Special categories"	1748	25128	22353	786	678	2229	2045	5124	Kilograms	6523	7323	4177	134	0	0	0	0	0	0	0	0	
"Burkina Faso"	0	0	0	0	1016	600	2150	480	Kilograms	0	0	0	0	4158	0	0	0	0	0	0	0	
"Uzbekistan"	0	20000	0	20000	0	0	0	0		20000	0	0	0	0	0	0	0	0	0	0	0	
